# trade-gate sweep 2026-09-08 05:3x–06:0xZ, ed-api e90f86f (98a24e8c: live 29c7522 tree + EDDA_API_TRADE_CONCURRENCY),
# pool cores−2 niced, plot gate 4 + long 2, Postgres pool 30, limiter opened for the window and restored after. Instruments
# per gate: rotating trade_search (legacy legs) and trade_report (`ship` body) rungs at c=4 and c=16 for 30 s from a Mac
# (~185 ms RTT inside client numbers), pg_stat_statements for the trade statement, trade-behind-plots as the CPU control.
# VERDICT: the one-runner gate was the ceiling. Reports served at c=16: 204 → 370 → 549 (gate 1/2/3), p50 2.3 s → 1.3 s
# → 0.86 s, p95 3.1 s → 1.8 s → 1.3 s; legacy trade_search 62 → 122 → 168 served, p50 9.0 → 4.4 → 3.1 s. Postgres mean
# per statement flat (607 / 535 / 557 ms; max 2.2 → 1.25 → 1.3 s), pool idle 9 / 15 / 13 of 30, trade-behind-plots
# 0.7–1.6 s at every gate, plots 8/50 s at every gate. Pre-registration for 2 MET (≈×2, p95 halved, control within band);
# 3 kept scaling with nothing binding. Default → 3 (highest measured point); 4 and 6 unmeasured — sweep before raising.
gate,instrument,requests,rps,p50_ms,p95_ms,p99_ms,http_2xx,http_429,http_5xx,http_other,transport_errors,codes
# gate 1: trade gate sized","concurrency":1},"target":"ed_api::trade_s
# gate 1 box,load1=0.74,pool_idle=,pool_conns=
1,trade_search_rotating,4,47,1.51,2264.2,5292.2,6149.7,47,0,0,0,0,200:47
1,trade_report_rotating,4,179,5.86,623.2,1569.9,1734.6,179,0,0,0,0,200:179
1,trade_search_rotating,16,62,1.66,9025.5,11344.8,11564.5,62,0,0,0,0,200:62
1,trade_report_rotating,16,204,6.29,2341.7,3068.6,3597.9,204,0,0,0,0,200:204
1,trade_pg_stats,109,607,2159,,,,,,,,,
# gate 1 trade Wyrd               200   1.57 s (behind 2 plots)
# gate 1 trade Eravate            200   0.71 s (behind 2 plots)
# gate 1 trade LP 98-132          200   1.44 s (behind 2 plots)
# gate 1 trade Kremainn           200   0.81 s (behind 2 plots)
# gate 1 trade Shinrarta Dezhra   200   0.90 s (behind 2 plots)
# gate 1 plots: 8 codes={200: 8} served p50=26.75s max=31.53s
# gate 1 box,load1=4.12,pool_idle=9.0,pool_conns=9.0
# gate 2: trade gate sized","concurrency":2},"target":"ed_api::trade_s
2,trade_search_rotating,4,112,3.63,1147.7,2038.4,2343.9,112,0,0,0,0,200:112
2,trade_report_rotating,4,299,9.87,367.5,629.0,1221.3,299,0,0,0,0,200:299
2,trade_search_rotating,16,122,3.41,4400.5,6417.3,7049.6,122,0,0,0,0,200:122
2,trade_report_rotating,16,370,11.79,1302.8,1770.5,2082.6,370,0,0,0,0,200:370
2,trade_pg_stats,234,535,1252,,,,,,,,,
# gate 2 trade Wyrd               200   1.55 s (behind 2 plots)
# gate 2 trade Eravate            200   0.72 s (behind 2 plots)
# gate 2 trade LP 98-132          200   1.50 s (behind 2 plots)
# gate 2 trade Kremainn           200   0.84 s (behind 2 plots)
# gate 2 trade Shinrarta Dezhra   200   0.84 s (behind 2 plots)
# gate 2 plots: 8 codes={200: 8} served p50=26.14s max=31.12s
# gate 2 box,load1=4.06,pool_idle=15.0,pool_conns=15.0
# gate 3: trade gate sized","concurrency":3},"target":"ed_api::trade_s
# gate 3 box,load1=2.01,pool_idle=,pool_conns=
3,trade_search_rotating,4,143,4.67,949.3,1545.8,1899.2,143,0,0,0,0,200:143
3,trade_report_rotating,4,320,10.57,345.0,601.2,1180.3,320,0,0,0,0,200:320
3,trade_search_rotating,16,168,5.08,3078.5,4089.0,4474.6,168,0,0,0,0,200:168
3,trade_report_rotating,16,549,17.76,859.0,1273.3,1665.3,549,0,0,0,0,200:549
3,trade_pg_stats,310,557,1317,,,,,,,,,
# gate 3 trade Wyrd               200   1.36 s (behind 2 plots)
# gate 3 trade Eravate            200   0.71 s (behind 2 plots)
# gate 3 trade LP 98-132          200   1.43 s (behind 2 plots)
# gate 3 trade Kremainn           200   0.76 s (behind 2 plots)
# gate 3 trade Shinrarta Dezhra   200   0.76 s (behind 2 plots)
# gate 3 plots: 8 codes={200: 8} served p50=25.94s max=31.22s
# gate 3 box,load1=4.75,pool_idle=13.0,pool_conns=13.0
# restoring code default: trade gate sized","concurrency":1},"target":"ed_api::trade_s
